A SAMSA official said the ship did not have the required certification .,01/28/2006
A SAMSA official said the ship did not have the required certification .,01/28/2006
A SAMSA official said the ship did not have the required certification .,01/28/2006
"Previous votes during the conference had been narrowly won by the anti-whaling group of countries , including a motion to introduce secret ballots , to introduce an exemption allowing Japanese coastal communities to whale , the elimination of a Southern Ocean whale sanctuary and a block on the IWC discussing dolphins and porpoises .",06/19/2006
"Previous votes during the conference had been narrowly won by the anti-whaling group of countries , including a motion to introduce secret ballots , to introduce an exemption allowing Japanese coastal communities to whale , the elimination of a Southern Ocean whale sanctuary and a block on the IWC discussing dolphins and porpoises .",06/19/2006
"Previous votes during the conference had been narrowly won by the anti-whaling group of countries , including a motion to introduce secret ballots , to introduce an exemption allowing Japanese coastal communities to whale , the elimination of a Southern Ocean whale sanctuary and a block on the IWC discussing dolphins and porpoises .",06/19/2006
"Previous votes during the conference had been narrowly won by the anti-whaling group of countries , including a motion to introduce secret ballots , to introduce an exemption allowing Japanese coastal communities to whale , the elimination of a Southern Ocean whale sanctuary and a block on the IWC discussing dolphins and porpoises .",06/19/2006
"Previous votes during the conference had been narrowly won by the anti-whaling group of countries , including a motion to introduce secret ballots , to introduce an exemption allowing Japanese coastal communities to whale , the elimination of a Southern Ocean whale sanctuary and a block on the IWC discussing dolphins and porpoises .",06/19/2006
"The vote does not directly enable a return to commercial whaling , as that would require a three quarters majority , but is significant in being the first time that a major vote at the IWC has sided with the pro-whaling nations in two decades .",06/19/2006
"The vote does not directly enable a return to commercial whaling , as that would require a three quarters majority , but is significant in being the first time that a major vote at the IWC has sided with the pro-whaling nations in two decades .",06/19/2006
"The vote does not directly enable a return to commercial whaling , as that would require a three quarters majority , but is significant in being the first time that a major vote at the IWC has sided with the pro-whaling nations in two decades .",06/19/2006
"The vote does not directly enable a return to commercial whaling , as that would require a three quarters majority , but is significant in being the first time that a major vote at the IWC has sided with the pro-whaling nations in two decades .",06/19/2006
"The vote does not directly enable a return to commercial whaling , as that would require a three quarters majority , but is significant in being the first time that a major vote at the IWC has sided with the pro-whaling nations in two decades .",06/19/2006
"The vote does not directly enable a return to commercial whaling , as that would require a three quarters majority , but is significant in being the first time that a major vote at the IWC has sided with the pro-whaling nations in two decades .",06/19/2006
"The vote does not directly enable a return to commercial whaling , as that would require a three quarters majority , but is significant in being the first time that a major vote at the IWC has sided with the pro-whaling nations in two decades .",06/19/2006
"The vote does not directly enable a return to commercial whaling , as that would require a three quarters majority , but is significant in being the first time that a major vote at the IWC has sided with the pro-whaling nations in two decades .",06/19/2006
"The vote does not directly enable a return to commercial whaling , as that would require a three quarters majority , but is significant in being the first time that a major vote at the IWC has sided with the pro-whaling nations in two decades .",06/19/2006
"The vote does not directly enable a return to commercial whaling , as that would require a three quarters majority , but is significant in being the first time that a major vote at the IWC has sided with the pro-whaling nations in two decades .",06/19/2006
"The vote does not directly enable a return to commercial whaling , as that would require a three quarters majority , but is significant in being the first time that a major vote at the IWC has sided with the pro-whaling nations in two decades .",06/19/2006
"The vote does not directly enable a return to commercial whaling , as that would require a three quarters majority , but is significant in being the first time that a major vote at the IWC has sided with the pro-whaling nations in two decades .",06/19/2006
A paragraph within the declaration passed at the IWC meeting suggested that a number of international NGOs with self-interest campaigns were using threats in an attempt to direct government policy `` on matters of sovereign rights related to the use of resources for food security and national development '' .,06/19/2006
A paragraph within the declaration passed at the IWC meeting suggested that a number of international NGOs with self-interest campaigns were using threats in an attempt to direct government policy `` on matters of sovereign rights related to the use of resources for food security and national development '' .,06/19/2006
A paragraph within the declaration passed at the IWC meeting suggested that a number of international NGOs with self-interest campaigns were using threats in an attempt to direct government policy `` on matters of sovereign rights related to the use of resources for food security and national development '' .,06/19/2006
Almost 500 whales have died in five mass beachings over the last five months .,03/26/2009
Almost 500 whales have died in five mass beachings over the last five months .,03/26/2009
Almost 500 whales have died in five mass beachings over the last five months .,03/26/2009
Almost 500 whales have died in five mass beachings over the last five months .,03/26/2009
"The other four whales rescued Tuesday are still believed to be at sea , and department officials are monitoring the ocean to verify their safety .",03/26/2009
"The other four whales rescued Tuesday are still believed to be at sea , and department officials are monitoring the ocean to verify their safety .",03/26/2009
"The other four whales rescued Tuesday are still believed to be at sea , and department officials are monitoring the ocean to verify their safety .",03/26/2009
The death of the whale saved the rescue team from having to decide whether it was advisable to release the whale in such a weak condition .,01/21/2006
The death of the whale saved the rescue team from having to decide whether it was advisable to release the whale in such a weak condition .,01/21/2006
The death of the whale saved the rescue team from having to decide whether it was advisable to release the whale in such a weak condition .,01/21/2006
A humane killing had been considered .,01/21/2006
A humane killing had been considered .,01/21/2006
"The whale managed to gather two days worth of media attention , with Londoners and people all over the world captivated by the unusual story .",01/21/2006
"The whale managed to gather two days worth of media attention , with Londoners and people all over the world captivated by the unusual story .",01/21/2006
